,,WXT510_1,,TA_Stat1h,,TA_Stat1h,,TA_Stat1h,,WXT510_1,,RH_Stat1h,,RH_Stat1h,,RH_Stat1h,,DP_1m,,DP_Stat1h,,DP_Stat1h,,DP_Stat1h,,WXT510_1,,PA_Stat1h,,PA_Stat1h,,PA_Stat1h,,SR_1m,,SR_Stat1h,,SR_Stat1h,,SR_Stat1h,,WXT510_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,Evaporation,
time,status,TA,status,Avg,status,Max,status,Min,status,RH,status,Avg,status,Max,status,Min,status,DP,status,Avg,status,Max,status,Min,status,PA,status,Avg,status,Max,status,Min,status,Avg,status,Avg,status,Max,status,Min,status,Rain_amount,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,value,
8/10/15 12:00:03 AM,VALID,18.3,VALID,18.192,VALID,18.4,VALID,17.9,VALID,63.3,VALID,64.508,VALID,68.9,VALID,61.8,VALID,11.203,VALID,11.382,VALID,12.202,VALID,10.841,VALID,793.6,VALID,793.598,VALID,793.7,VALID,793.5,VALID,-0.016,VALID,0.005,VALID,0.028,VALID,-0.02,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.196,
8/10/15 1:00:03 AM,VALID,17.1,VALID,17.983,VALID,18.4,VALID,17.1,VALID,72.6,VALID,67.81,VALID,73.3,VALID,64.3,VALID,12.135,VALID,11.931,VALID,12.377,VALID,11.415,VALID,793.2,VALID,793.435,VALID,793.7,VALID,793.1,VALID,-0.005,VALID,-0.001,VALID,0.023,VALID,-0.027,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.301,
8/10/15 2:00:03 AM,VALID,16.9,VALID,16.877,VALID,17.1,VALID,16.8,VALID,66.5,VALID,70.735,VALID,74.3,VALID,66.5,VALID,10.617,VALID,11.516,VALID,12.302,VALID,10.617,VALID,792.9,VALID,793.092,VALID,793.2,VALID,792.9,VALID,-0.005,VALID,0.02,VALID,0.053,VALID,-0.011,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.425,
8/10/15 3:00:03 AM,VALID,16.8,VALID,16.93,VALID,17.0,VALID,16.8,VALID,64.7,VALID,64.667,VALID,66.5,VALID,63.1,VALID,10.11,VALID,10.225,VALID,10.617,VALID,9.925,VALID,792.2,VALID,792.462,VALID,792.9,VALID,792.2,VALID,-0.01,VALID,0.008,VALID,0.042,VALID,-0.02,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.504,
8/10/15 4:00:03 AM,VALID,15.9,VALID,16.258,VALID,16.8,VALID,15.9,VALID,68.2,VALID,67.063,VALID,68.5,VALID,64.4,VALID,10.041,VALID,10.13,VALID,10.331,VALID,9.96,VALID,791.9,VALID,792.092,VALID,792.3,VALID,791.8,VALID,0.002,VALID,-0.0,VALID,0.024,VALID,-0.038,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.605,
8/10/15 5:00:03 AM,VALID,14.7,VALID,15.377,VALID,15.9,VALID,14.7,VALID,75.3,VALID,71.222,VALID,75.3,VALID,68.2,VALID,10.372,VALID,10.182,VALID,10.462,VALID,9.85,VALID,791.9,VALID,791.87,VALID,792.0,VALID,791.8,VALID,0.013,VALID,0.017,VALID,0.064,VALID,-0.016,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.659,
8/10/15 6:00:02 AM,VALID,14.3,VALID,14.413,VALID,14.7,VALID,14.2,VALID,77.8,VALID,76.527,VALID,77.8,VALID,75.4,VALID,10.475,VALID,10.336,VALID,10.611,VALID,10.122,VALID,791.8,VALID,791.885,VALID,792.0,VALID,791.8,VALID,0.026,VALID,0.013,VALID,0.048,VALID,-0.009,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.659,
8/10/15 7:00:02 AM,VALID,13.5,VALID,13.873,VALID,14.2,VALID,13.5,VALID,73.4,VALID,76.178,VALID,79.3,VALID,72.9,VALID,8.832,VALID,9.741,VALID,10.493,VALID,8.772,VALID,792.0,VALID,791.892,VALID,792.0,VALID,791.8,VALID,0.718,VALID,0.059,VALID,0.718,VALID,-0.022,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.77,
8/10/15 8:00:02 AM,VALID,13.3,VALID,13.177,VALID,13.4,VALID,13.0,VALID,73.3,VALID,74.782,VALID,75.5,VALID,73.3,VALID,8.62,VALID,8.796,VALID,8.976,VALID,8.62,VALID,792.5,VALID,792.248,VALID,792.5,VALID,792.0,VALID,40.612,VALID,17.811,VALID,40.612,VALID,0.731,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.729,
8/10/15 9:00:02 AM,VALID,15.3,VALID,14.375,VALID,15.3,VALID,13.3,VALID,61.7,VALID,66.847,VALID,73.4,VALID,61.7,VALID,7.985,VALID,8.262,VALID,8.737,VALID,7.419,VALID,792.8,VALID,792.642,VALID,792.8,VALID,792.4,VALID,37.609,VALID,40.317,VALID,41.622,VALID,37.609,VALID,0.0,VALID,0.0,INVALID,0.0,VALID,0.0,VALID - DEFAULT VALUE,132.854,
